mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
BMW,COUNTRYMAN COOPER S ALL4,1645.0,7.3,12681.0,2.2,2246.5753424657537,0.25
MERCEDES-BENZ AG,CITAN,1636.0,5.4,10232.0,2.9,2629.6296296296296,0.4
MERCEDES-BENZ AG,CLA 180,1425.0,6.0,20086.0,2.9,2266.6666666666665,0.25
STELLANTIS,ABARTH 500,1140.0,7.2,11022.0,2.5,2250.0,0.25
VOLKSWAGEN,911 GT3,1510.0,12.9,108136.0,2.4,2271.3178294573645,0.25
STELLANTIS,C3 AIRCROSS,1310.0,6.5,11330.0,2.7,2230.769230769231,0.25
BMW,X1 SDRIVE 18I,1575.0,6.5,18271.0,2.8,2246.153846153846,0.25
BMW,230I,1600.0,6.7,28698.0,2.3,2268.6567164179105,0.25
MERCEDES-BENZ AG,G 400 D,2499.0,11.4,80935.0,2.3,2614.035087719298,0.4
BMW,X2 SDRIVE 20I,1545.0,6.8,32215.0,2.2,2279.4117647058824,0.25
VOLKSWAGEN,R8 COUPE,1645.0,15.0,152271.0,2.5,2266.6666666666665,0.25
MERCEDES-BENZ AG,CLA 220 D,1585.0,5.3,34928.0,2.6,2641.509433962264,0.4
STELLANTIS,C4,1353.0,5.8,12037.0,2.3,2241.3793103448274,0.25
MERCEDES-BENZ AG,GLB 250 4MATIC,1670.0,8.0,24265.0,2.7,2275.0,0.25
VOLKSWAGEN,MACAN GTS,2035.0,11.4,62265.0,2.6,2254.3859649122805,0.25
STELLANTIS,508,1495.0,6.0,16180.0,2.6,2250.0,0.25
RENAULT-NISSAN-MITSUBISHI,KOLEOS,1590.0,6.8,27369.0,3.2,2250.0,0.25
BMW,CLUBMAN COOPER S,1490.0,6.6,12681.0,2.0,2287.878787878788,0.25
MERCEDES-BENZ AG,AMG C 63 S,1820.0,11.0,18990.0,2.6,2263.6363636363635,0.25
MERCEDES-BENZ AG,A 200 D,1530.0,5.0,20895.0,2.8,2640.0,0.4
MERCEDES-BENZ AG,SPRINTER,2557.0,10.8,17973.0,2.7,2620.37037037037,0.4
MERCEDES-BENZ AG,CLA 200,1480.0,6.6,21893.0,2.5,2272.727272727273,0.25
KG MOBILITY GREAT WALL MOTOR,SSANGYONG TIVOLI,1393.0,7.7,12751.0,2.9,2272.7272727272725,0.25
BMW,118I,1395.0,5.7,12875.0,2.7,2298.245614035088,0.25
MERCEDES-BENZ AG,A 220 D,1570.0,5.3,38215.0,2.4,2622.6415094339623,0.4
STELLANTIS,BERLINGO,1557.0,6.9,10316.0,2.7,2246.376811594203,0.25
VOLKSWAGEN,CAYENNE,2105.0,11.9,71309.0,2.8,2260.5042016806724,0.25
VOLKSWAGEN,TT RS COUPE,1550.0,8.9,56895.0,2.4,2280.8988764044943,0.25
VOLKSWAGEN,SQ8,2345.0,12.6,88010.0,2.6,2269.84126984127,0.25
MERCEDES-BENZ AG,GLB 200 D 4MATIC,1755.0,5.8,26833.0,2.8,2637.9310344827586,0.4
STELLANTIS,C5 X,1542.0,6.5,7375.0,2.8,2261.5384615384614,0.25
BMW,430I XDRIVE,1775.0,7.3,31286.0,2.6,2273.972602739726,0.25
MERCEDES-BENZ AG,AMG CLA 45 S,1715.0,9.0,18990.0,2.8,2277.777777777778,0.25
STELLANTIS,INSIGNIA SPORTS TOURER,1615.0,5.0,12792.0,2.5,2620.0,0.4
HYUNDAI MOTOR EUROPE,KONA N KAUAI N,1585.0,8.5,24352.0,2.6,2282.3529411764707,0.25
MAZDA,M6,1498.0,6.8,17343.0,2.4,2279.4117647058824,0.25
MERCEDES-BENZ AG,AMG C 63,1810.0,10.9,18990.0,2.9,2275.229357798165,0.25
MERCEDES-BENZ AG,B 200 D,1580.0,5.3,17576.0,2.3,2603.7735849056603,0.4
FORD,TRANSIT CUSTOM,2314.0,7.9,17235.0,2.6,2620.253164556962,0.4
BMW,116I,1395.0,5.8,10286.0,2.4,2275.862068965517,0.25
MERCEDES-BENZ AG,E 200 D,1735.0,4.9,18685.0,2.4,2632.6530612244896,0.4
MERCEDES-BENZ AG,GLB 180,1570.0,7.0,25967.0,2.5,2271.4285714285716,0.25
BMW,218I,1450.0,5.8,17798.0,2.7,2275.862068965517,0.25
FORD,ECOSPORT,1359.0,6.8,15150.0,2.4,2264.7058823529414,0.25
MERCEDES-BENZ AG,GLB 200,1570.0,7.1,26833.0,2.4,2281.6901408450703,0.25
VOLKSWAGEN,911 CARRERA 4 GTS,1705.0,10.8,108136.0,2.7,2268.5185185185182,0.25
SUBARU-SUZUKI-TOYOTA,PROACE,1842.0,7.3,24331.0,2.2,2616.4383561643835,0.4
BMW,218I ACTIVE TOURER,1545.0,6.2,17798.0,2.4,2274.1935483870966,0.25
MERCEDES-BENZ AG,GLB 220 D 4MATIC,1755.0,5.9,35303.0,2.7,2610.1694915254234,0.4
BMW,320I XDRIVE,1655.0,7.1,17856.0,2.9,2253.5211267605637,0.25
BMW,120D,1525.0,5.2,16127.0,2.6,2596.153846153846,0.4
MAZDA,MX-5,1097.0,6.9,17799.0,2.6,2246.376811594203,0.25
MERCEDES-BENZ AG,GLA 220 D 4MATIC,1690.0,5.6,29865.0,2.3,2625.0,0.4
VOLKSWAGEN,MACAN S,2005.0,11.0,62265.0,2.6,2272.7272727272725,0.25
KIA,STINGER,1933.0,10.9,40426.0,2.5,2266.0550458715597,0.25
BMW,318I,1650.0,6.8,11500.0,2.4,2235.294117647059,0.25
