ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,ech,RLFI,Electric range (km),mk_norm,cn_norm,price,frontal_area_m2
123234460,ES,IP-HNS____MB6_5427-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2007/46*6816*19,B,A,HNSA-A1A600,CITROEN,NUEVO C4 PURETECH 130 S&S 6V PLUS,M1,M1,1,1322.0,1400.0,,120.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.1,,,F,2023,2023-12-28,5.3,EURO 6EA,,,citroen,nuevo c4 puretech 130 s&s 6v plus,9843.0,3.2
123234521,ES,IP-HNS____ATN8544E-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*22,U,S,HNSS-41G500,OPEL,MOKKA GS 12 T 130CV AT8 S/S 130 (96 KW),M1,M1,1,1295.0,1390.0,,132.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.06,,,F,2023,2023-03-24,5.9,EURO 6AP,,,opel,mokka gs 12 t 130cv at8 s/s 130 (96 kw),15522.0,2.4
123234568,ES,IP-YHZ____ATN8214B-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*25,F,B,YHZT-B2Y700,PEUGEOT,308 5P ACTIVE PACK BLUEHDI 130 S&S EAT8,M1,M1,1,1436.0,1515.0,,128.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.35,,,F,2023,2023-12-29,4.9,EURO 6AP,,,peugeot,308 5p active pack bluehdi 130 s&s eat8,8477.0,2.8
123234666,ES,IP-YHZ____ATN85144-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*23,U,D,YHZS-R2B100,PEUGEOT,2008 ACTIVE PACK BLUEHDI 130 S&S EAT8,M1,M1,1,1345.0,1413.0,,132.0,,,,diesel,M,1499.0,96.0,,e2 29,,0.72,,,F,2023,2023-06-22,5.0,EURO 6AP,,,peugeot,2008 active pack bluehdi 130 s&s eat8,12275.0,2.7
123234688,ES,IP-YHZ____ATN8514A-VR3,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*27,U,D,YHZS-S2G600,PEUGEOT,N2008 GT BLUEHDI 130 S&S EAT8,M1,M1,1,1345.0,1443.0,,132.0,,,,diesel,M,1499.0,96.0,,e2 29 37,,1.36,,,F,2023,2023-12-21,5.0,EURO 6EA,,,peugeot,n2008 gt bluehdi 130 s&s eat8,12275.0,3.0
123234733,ES,IP-HNS____MB6F3428-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0642*18,A,R,HNSK-C1NH00,CITROEN,C5 AIRCROSS PURETECH 130 S&S 6V SHINE PACK (SOLO S,M1,M1,1,1483.0,1599.0,,141.0,,,,petrol,M,1199.0,96.0,,e2 29 37,,2.1,,,F,2023,2023-04-26,6.3,EURO 6AP,,,citroen,c5 aircross puretech 130 s&s 6v shine pack (solo s,17283.0,3.1
123234753,ES,IP-YHS____MB6_5126-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*20,U,D,YHSK-42B500,OPEL,MOKKA ELEGANCE 15 D 110CV MT6,M1,M1,1,1295.0,1391.0,,116.0,,,,diesel,M,1499.0,81.0,,e2 28 29,,1.84,,,F,2023,2023-01-30,4.4,EURO 6AP,,,opel,mokka elegance 15 d 110cv mt6,22853.0,2.6
123234754,ES,IP-HNS____MB6E242A-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0628*22,F,R,HNSL-D11E00,PEUGEOT,NUEVO 308 SW ACTIVE PACK PURETECH 130 S&S 6 VEL M,M1,M1,1,1385.0,1468.0,,127.0,,,,petrol,M,1199.0,96.0,,e2 28 29,,1.97,,,F,2023,2023-03-28,5.6,EURO 6AP,,,peugeot,nuevo 308 sw active pack puretech 130 s&s 6 vel m,8477.0,2.4
123234794,ES,IP-ZKX____REDU6760-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0624*21,E,Z,ZKXZ-C7U000,CITROEN,E-BERLINGO ELECTRICO 50 KWH TALLA XL LIVE PACK,M1,M1,1,1813.0,1896.0,,0.0,,,,electric,E,,100.0,201.0,,,,,,F,2023,2023-07-28,,EURO AX,,276.0,citroen,e berlingo electrico 50 kwh talla xl live pack,10316.0,2.7
123234985,ES,IP-YHS____MB6_5122-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E9*2007/46*6816*12,B,B,YHSA-A2B400,CITROEN,NUEVO C4 BLUEHDI 110 S&S 6V FEEL (SOLO STOCK),M1,M1,1,1335.0,1426.0,,114.0,,,,diesel,M,1499.0,81.0,,e2 28 29,,1.48,,,F,2023,2023-03-31,4.4,EURO 6AP,,,citroen,nuevo c4 bluehdi 110 s&s 6v feel (solo stock),9843.0,2.4
