Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
VOLKSWAGEN,RS E-TRON GT,E,210.0,470.0,2420.0,987.0,2100.0,0.9,0.47619047619047616
,E:NY1,E,182.0,412.0,1730.0,749.84,1820.0,0.9,0.5494505494505495
VOLKSWAGEN,TAYCAN TURBO,E,212.0,486.0,2405.0,1030.32,2120.0,0.9,0.4716981132075472
MERCEDES-BENZ AG,AMG EQS 53 4MATIC+,E,238.0,524.0,2655.0,1247.12,2380.0,0.9,0.42016806722689076
VOLKSWAGEN,Q4 SPORTBACK 45 E-TRON,E,181.0,486.0,2215.0,879.66,1810.0,0.9,0.5524861878453039
VOLKSWAGEN,E-TRON 50,E,220.0,336.0,2445.0,739.2,2200.0,0.9,0.45454545454545453
,EQS 500 4MATIC,E,,,2615.0,,,0.9,
MERCEDES-BENZ AG,AMG EQE 53 4MATIC+,E,227.0,446.0,2540.0,1012.42,2270.0,0.9,0.44052863436123346
,GLC LONGRANGE EQ L 4MATIC,E,137.0,,2530.0,,1370.0,0.9,0.7299270072992701
,AUDI SQ8 E-TRON,E,,,2730.0,,,0.9,
,CLA 300+ 4MATIC,E,,,2117.0,,,0.9,
,KONA,E,,,1682.0,,,0.9,
HYUNDAI MOTOR EUROPE,G80 GENESIS G80,E,191.0,520.0,2325.0,993.2,1910.0,0.9,0.5235602094240838
,CLA 220,E,,,2021.0,,,0.9,
SUBARU-SUZUKI-TOYOTA,PROACE CITY VERSO ELECTRIC,E,212.0,263.0,1876.0,557.56,2120.0,0.9,0.4716981132075472
BMW,IX2 XDRIVE 30,E,177.0,419.0,2095.0,741.63,1770.0,0.9,0.5649717514124294
VOLKSWAGEN,SQ8 E-TRON,E,282.0,427.0,2725.0,1204.14,2820.0,0.9,0.3546099290780142
MERCEDES-BENZ AG,EQE 350+,E,181.0,585.0,2355.0,1058.85,1810.0,0.9,0.5524861878453039
,WRAITH BLACK BADGE,E,,,3055.0,,,0.9,
STELLANTIS,JUMPY,E,269.0,314.0,2131.0,844.66,2690.0,0.9,0.37174721189591076
,MACAN BEV 4S,E,275.0,,2520.0,,2750.0,0.9,0.36363636363636365
,SQ8 SPORTBACK E-TRON,E,,,2725.0,,,0.9,
VOLKSWAGEN,ENYAQ 85X,E,165.0,521.0,2222.0,859.65,1650.0,0.9,0.6060606060606061
,TAYCAN CROSS TURISMO,E,270.0,,2405.0,,2700.0,0.9,0.37037037037037035
,IX5 XDRIVE45,E,,,2845.0,,,0.9,
VOLKSWAGEN,E-TRON SPORTBACK 50,E,234.0,315.0,2445.0,737.1,2340.0,0.9,0.42735042735042733
VOLKSWAGEN,E-TRON S,E,276.0,354.0,2730.0,977.04,2760.0,0.9,0.36231884057971014
,MACAN H2,E,,,2530.0,,,0.9,
VOLKSWAGEN,E-TRON S SPORTBACK,E,274.0,357.0,2730.0,978.18,2740.0,0.9,0.36496350364963503
,I750 XDRIVE,E,,,2785.0,,,0.9,
,MACAN 4,E,275.0,,2520.0,,2750.0,0.9,0.36363636363636365
MERCEDES-BENZ AG,EQS 350,E,173.0,610.0,2390.0,1055.3,1730.0,0.9,0.5780346820809249
,MACAN BEV 2,E,275.0,,2410.0,,2750.0,0.9,0.36363636363636365
,BOXSTER TOP,E,,,1835.0,,,0.9,
,CLA 250+,E,,,2037.0,,,0.9,
,G 580,E,,,3000.0,,,0.9,
,IX3 M SPORT,E,,,2255.0,,,0.9,
,I4 M50 XDRIVE,E,,,2295.0,,,0.9,
,TAYCAN SPORT TURISMO 4S,E,270.0,,2508.0,,2700.0,0.9,0.37037037037037035
VOLKSWAGEN,Q4 55 E-TRON,E,181.0,486.0,2235.0,879.66,1810.0,0.9,0.5524861878453039
,ZAFIRA,E,,,2167.0,,,0.9,
,AMG EQ E 43 4MATIC,E,,,2600.0,,,0.9,
,EQG,E,,,3000.0,,,0.9,
,AUDI  Q4 E-TRON,E,,,2235.0,,,0.9,
,AMG CLA PERFORMANCE EQ 4MATIC,E,148.0,,2301.0,,1480.0,0.9,0.6756756756756757
